sub,block,balloon,pump,explode or not
1,1,1,4,1
1,2,2,2,1
1,2,3,1,0
1,3,4,6,0
1,2,5,3,1
1,2,6,3,0
1,1,7,2,1
1,1,8,1,0
1,3,9,2,0
1,1,10,3,1
1,1,11,2,0
1,3,12,1,0
1,3,13,2,0
1,3,14,2,0
1,2,15,3,0
1,1,16,5,0
1,3,17,4,0
1,1,18,4,1
1,2,19,2,0
1,1,20,3,0
1,2,21,6,0
1,2,22,2,1
1,1,23,1,1
1,3,24,1,0
1,3,25,8,0
1,2,26,5,0
1,3,27,3,0
1,1,28,2,0
1,2,29,4,0
1,3,30,3,0
1,1,31,1,1
1,1,32,3,0
1,1,33,3,0
1,1,34,2,1
1,1,35,3,1
1,1,36,2,0
1,1,37,2,0
1,1,38,2,1
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,1,0
1,1,43,3,0
1,1,44,3,1
1,1,45,2,0
1,1,46,1,1
1,1,47,1,1
1,1,48,1,0
1,1,49,1,0
1,1,50,1,1
1,2,51,1,0
1,2,52,14,1
1,2,53,4,0
1,2,54,3,1
1,2,55,4,0
1,2,56,4,0
1,2,57,4,0
1,2,58,1,1
1,2,59,1,0
1,2,60,2,1
1,2,61,2,0
1,2,62,3,0
1,2,63,3,0
1,2,64,5,1
1,2,65,3,0
1,2,66,3,0
1,2,67,3,0
1,2,68,3,0
1,2,69,5,0
1,2,70,4,1
1,3,71,3,0
1,3,72,4,0
1,3,73,4,0
1,3,74,4,0
1,3,75,3,0
1,3,76,2,0
1,3,77,2,0
1,3,78,3,0
1,3,79,3,0
1,3,80,3,0
1,3,81,3,0
1,3,82,4,0
1,3,83,3,0
1,3,84,2,0
1,3,85,2,0
1,3,86,4,0
1,3,87,5,0
1,3,88,4,0
1,3,89,4,0
1,3,90,3,0
      ,,,,
