sub,block,balloon,pump,explode or not
1,1,1,4,1
1,2,2,2,1
1,2,3,1,0
1,3,4,6,0
1,2,5,3,1
1,2,6,3,0
1,1,7,2,1
1,1,8,1,0
1,3,9,2,0
1,1,10,3,1
1,1,11,2,0
1,3,12,1,0
1,3,13,2,0
1,3,14,2,0
1,2,15,3,0
1,1,16,5,0
1,3,17,4,0
1,1,18,4,1
1,2,19,2,0
1,1,20,3,0
1,2,21,6,0
1,2,22,2,1
1,1,23,1,1
1,3,24,1,0
1,3,25,8,0
1,2,26,5,0
1,3,27,3,0
1,1,28,2,0
1,2,29,4,0
1,3,30,3,0
1,1,31,1,1
1,1,32,3,0
1,1,33,3,0
1,1,34,2,1
1,1,35,3,1
1,1,36,2,0
1,1,37,2,0
1,1,38,2,1
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,1,0
1,1,43,3,0
1,1,44,3,1
1,1,45,2,0
1,1,46,1,1
1,1,47,1,1
1,1,48,1,0
1,1,49,1,0
1,1,50,1,1
1,2,51,1,0
1,2,52,14,1
1,2,53,4,0
1,2,54,3,1
1,2,55,4,0
1,2,56,4,0
1,2,57,4,0
1,2,58,1,1
1,2,59,1,0
1,2,60,2,1
1,2,61,2,0
1,2,62,3,0
1,2,63,3,0
1,2,64,5,1
1,2,65,3,0
1,2,66,3,0
1,2,67,3,0
1,2,68,3,0
1,2,69,5,0
1,2,70,4,1
1,3,71,3,0
1,3,72,4,0
1,3,73,4,0
1,3,74,4,0
1,3,75,3,0
1,3,76,2,0
1,3,77,2,0
1,3,78,3,0
1,3,79,3,0
1,3,80,3,0
1,3,81,3,0
1,3,82,4,0
1,3,83,3,0
1,3,84,2,0
1,3,85,2,0
1,3,86,4,0
1,3,87,5,0
1,3,88,4,0
1,3,89,4,0
1,3,90,3,0
2,2,1,9,1
2,2,2,6,0
2,3,3,23,0
2,1,4,5,1
2,2,5,5,1
2,2,6,7,1
2,1,7,4,1
2,1,8,3,1
2,2,9,9,1
2,3,10,21,0
2,2,11,15,1
2,2,12,1,1
2,1,13,6,1
2,3,14,26,0
2,1,15,1,1
2,1,16,5,1
2,1,17,2,1
2,1,18,1,1
2,1,19,7,1
2,3,20,8,1
2,3,21,32,0
2,3,22,38,0
2,3,23,38,0
2,2,24,13,1
2,3,25,56,0
2,2,26,3,1
2,2,27,10,1
2,1,28,7,1
2,3,29,19,1
2,3,30,46,1
2,1,31,3,1
2,1,32,1,1
2,1,33,4,1
2,1,34,6,1
2,1,35,1,1
2,1,36,3,1
2,1,37,5,1
2,1,38,8,1
2,1,39,1,1
2,1,40,7,1
2,1,41,8,1
2,1,42,1,1
2,1,43,6,1
2,1,44,4,1
2,1,45,1,1
2,1,46,3,1
2,1,47,4,1
2,1,48,2,1
2,1,49,7,1
2,1,50,4,1
2,2,51,12,1
2,2,52,2,1
2,2,53,9,1
2,2,54,7,1
2,2,55,8,1
2,2,56,14,1
2,2,57,5,1
2,2,58,4,1
2,2,59,10,1
2,2,60,9,1
2,2,61,9,1
2,2,62,8,0
2,2,63,8,1
2,2,64,7,0
2,2,65,10,1
2,2,66,1,1
2,2,67,8,1
2,2,68,2,1
2,2,69,11,1
2,2,70,4,1
2,3,71,49,0
2,3,72,100,1
2,3,73,11,1
2,3,74,14,1
2,3,75,46,1
2,3,76,12,1
2,3,77,47,0
2,3,78,66,0
2,3,79,57,1
2,3,80,57,0
2,3,81,51,0
2,3,82,69,0
2,3,83,34,1
2,3,84,8,1
2,3,85,59,0
2,3,86,43,1
2,3,87,60,0
2,3,88,22,1
2,3,89,18,1
2,3,90,52,0
3,2,1,13,1
3,1,2,3,1
3,2,3,12,1
3,2,4,1,1
3,2,5,6,0
3,3,6,25,0
3,3,7,44,0
3,1,8,2,1
3,3,9,89,1
3,3,10,58,0
3,1,11,1,0
3,1,12,5,1
3,2,13,8,1
3,1,14,3,0
3,1,15,4,0
3,2,16,2,0
3,3,17,5,1
3,1,18,4,1
3,1,19,2,1
3,3,20,9,1
3,1,21,1,1
3,3,22,80,0
3,3,23,61,1
3,3,24,44,1
3,1,25,1,1
3,2,26,9,0
3,2,27,1,1
3,3,28,1,0
3,2,29,3,1
3,2,30,1,0
3,1,31,6,1
3,1,32,8,1
3,1,33,2,1
3,1,34,2,1
3,1,35,4,1
3,1,36,3,0
3,1,37,4,1
3,1,38,3,0
3,1,39,1,1
3,1,40,1,1
3,1,41,1,1
3,1,42,1,0
3,1,43,7,1
3,1,44,3,0
3,1,45,3,0
3,1,46,2,1
3,1,47,5,1
3,1,48,3,0
3,1,49,2,1
3,1,50,1,1
3,2,51,5,1
3,2,52,4,0
3,2,53,5,0
3,2,54,11,1
3,2,55,7,0
3,2,56,2,1
3,2,57,1,0
3,2,58,8,1
3,2,59,9,0
3,2,60,2,1
3,2,61,13,1
3,2,62,10,0
3,2,63,6,0
3,2,64,8,1
3,2,65,3,1
3,2,66,1,1
3,2,67,7,1
3,2,68,4,1
3,2,69,1,1
3,2,70,6,0
3,3,71,10,1
3,3,72,60,1
3,3,73,3,1
3,3,74,57,0
3,3,75,56,0
3,3,76,93,1
3,3,77,18,1
3,3,78,42,1
3,3,79,84,0
3,3,80,89,0
3,3,81,92,1
3,3,82,43,1
3,3,83,70,1
3,3,84,48,1
3,3,85,56,0
3,3,86,36,1
3,3,87,38,1
3,3,88,67,1
3,3,89,52,0
3,3,90,55,0
4,2,1,12,1
4,3,2,13,1
4,1,3,5,1
4,2,4,10,1
4,3,5,5,0
4,1,6,4,1
4,3,7,8,0
4,2,8,7,1
4,1,9,6,0
4,3,10,10,0
4,2,11,2,1
4,1,12,5,1
4,1,13,5,1
4,2,14,6,0
4,1,15,3,1
4,3,16,8,0
4,2,17,16,1
4,3,18,8,0
4,1,19,2,1
4,3,20,4,0
4,2,21,5,1
4,3,22,8,0
4,1,23,3,1
4,2,24,8,0
4,2,25,1,1
4,1,26,4,1
4,2,27,5,1
4,3,28,5,0
4,3,29,5,0
4,1,30,2,1
4,1,31,5,0
4,1,32,4,1
4,1,33,7,1
4,1,34,2,1
4,1,35,7,1
4,1,36,2,0
4,1,37,2,1
4,1,38,1,0
4,1,39,1,0
4,1,40,1,0
4,1,41,1,0
4,1,42,2,1
4,1,43,1,0
4,1,44,1,0
4,1,45,1,0
4,1,46,1,0
4,1,47,1,1
4,1,48,1,0
4,1,49,1,0
4,1,50,1,0
4,2,51,1,0
4,2,52,1,0
4,2,53,5,0
4,2,54,5,0
4,2,55,5,0
4,2,56,2,1
4,2,57,3,1
4,2,58,5,0
4,2,59,1,1
4,2,60,2,1
4,2,61,10,1
4,2,62,6,0
4,2,63,6,0
4,2,64,7,0
4,2,65,7,1
4,2,66,5,1
4,2,67,6,1
4,2,68,6,0
4,2,69,4,1
4,2,70,6,1
4,3,71,5,0
4,3,72,5,0
4,3,73,10,0
4,3,74,5,0
4,3,75,13,0
4,3,76,5,0
4,3,77,40,0
4,3,78,43,1
4,3,79,12,0
4,3,80,26,0
4,3,81,18,1
4,3,82,14,1
4,3,83,13,0
4,3,84,9,0
4,3,85,10,0
4,3,86,42,0
4,3,87,11,1
4,3,88,72,1
4,3,89,4,1
4,3,90,44,0
5,2,1,7,1
5,2,2,2,1
5,2,3,1,1
5,3,4,3,0
5,3,5,12,0
5,3,6,41,0
5,3,7,21,0
5,1,8,3,1
5,2,9,4,0
5,1,10,4,1
5,1,11,5,0
5,1,12,2,1
5,2,13,12,1
5,2,14,6,0
5,3,15,26,1
5,3,16,22,0
5,2,17,8,0
5,3,18,20,1
5,2,19,13,1
5,1,20,4,1
5,3,21,21,0
5,1,22,2,0
5,3,23,23,0
5,3,24,31,0
5,1,25,4,1
5,1,26,2,0
5,1,27,1,1
5,1,28,1,0
5,2,29,8,1
5,2,30,6,0
5,1,31,1,0
5,1,32,1,0
5,1,33,1,1
5,1,34,1,0
5,1,35,1,0
5,1,36,1,0
5,1,37,1,0
5,1,38,1,1
5,1,39,1,0
5,1,40,3,1
5,1,41,5,1
5,1,42,2,0
5,1,43,2,0
5,1,44,2,1
5,1,45,1,0
5,1,46,2,0
5,1,47,2,0
5,1,48,2,0
5,1,49,2,1
5,1,50,2,0
5,2,51,7,1
5,2,52,5,0
5,2,53,6,0
5,2,54,4,1
5,2,55,6,0
5,2,56,2,1
5,2,57,9,1
5,2,58,6,0
5,2,59,6,0
5,2,60,1,1
5,2,61,1,0
5,2,62,4,1
5,2,63,1,1
5,2,64,3,0
5,2,65,6,0
5,2,66,5,1
5,2,67,3,1
5,2,68,5,0
5,2,69,1,1
5,2,70,6,0
5,3,71,28,0
5,3,72,1,1
5,3,73,23,0
5,3,74,26,0
5,3,75,27,0
5,3,76,32,0
5,3,77,42,0
5,3,78,21,1
5,3,79,34,0
5,3,80,39,0
5,3,81,21,1
5,3,82,24,0
5,3,83,29,0
5,3,84,29,0
5,3,85,34,0
5,3,86,39,0
5,3,87,42,0
5,3,88,45,0
5,3,89,49,0
5,3,90,47,0
   ,,,,
