sub,block,balloon,pump,explode or not
1,1,1,4,1
1,1,7,2,1
1,1,8,1,0
1,1,10,3,1
1,1,11,2,0
1,1,16,5,0
1,1,18,4,1
1,1,20,3,0
1,1,23,1,1
1,1,28,2,0
1,1,31,1,1
1,1,32,3,0
1,1,33,3,0
1,1,34,2,1
1,1,35,3,1
1,1,36,2,0
1,1,37,2,0
1,1,38,2,1
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,1,0
1,1,43,3,0
1,1,44,3,1
1,1,45,2,0
1,1,46,1,1
1,1,47,1,1
1,1,48,1,0
1,1,49,1,0
1,1,50,1,1
2,1,4,5,1
2,1,7,4,1
2,1,8,3,1
2,1,13,6,1
2,1,15,1,1
2,1,16,5,1
2,1,17,2,1
2,1,18,1,1
2,1,19,7,1
2,1,28,7,1
2,1,31,3,1
2,1,32,1,1
2,1,33,4,1
2,1,34,6,1
2,1,35,1,1
2,1,36,3,1
2,1,37,5,1
2,1,38,8,1
2,1,39,1,1
2,1,40,7,1
2,1,41,8,1
2,1,42,1,1
2,1,43,6,1
2,1,44,4,1
2,1,45,1,1
2,1,46,3,1
2,1,47,4,1
2,1,48,2,1
2,1,49,7,1
2,1,50,4,1
3,1,2,3,1
3,1,8,2,1
3,1,11,1,0
3,1,12,5,1
3,1,14,3,0
3,1,15,4,0
3,1,18,4,1
3,1,19,2,1
3,1,21,1,1
3,1,25,1,1
3,1,31,6,1
3,1,32,8,1
3,1,33,2,1
3,1,34,2,1
3,1,35,4,1
3,1,36,3,0
3,1,37,4,1
3,1,38,3,0
3,1,39,1,1
3,1,40,1,1
3,1,41,1,1
3,1,42,1,0
3,1,43,7,1
3,1,44,3,0
3,1,45,3,0
3,1,46,2,1
3,1,47,5,1
3,1,48,3,0
3,1,49,2,1
3,1,50,1,1
4,1,3,5,1
4,1,6,4,1
4,1,9,6,0
4,1,12,5,1
4,1,13,5,1
4,1,15,3,1
4,1,19,2,1
4,1,23,3,1
4,1,26,4,1
4,1,30,2,1
4,1,31,5,0
4,1,32,4,1
4,1,33,7,1
4,1,34,2,1
4,1,35,7,1
4,1,36,2,0
4,1,37,2,1
4,1,38,1,0
4,1,39,1,0
4,1,40,1,0
4,1,41,1,0
4,1,42,2,1
4,1,43,1,0
4,1,44,1,0
4,1,45,1,0
4,1,46,1,0
4,1,47,1,1
4,1,48,1,0
4,1,49,1,0
4,1,50,1,0
5,1,8,3,1
5,1,10,4,1
5,1,11,5,0
5,1,12,2,1
5,1,20,4,1
5,1,22,2,0
5,1,25,4,1
5,1,26,2,0
5,1,27,1,1
5,1,28,1,0
5,1,31,1,0
5,1,32,1,0
5,1,33,1,1
5,1,34,1,0
5,1,35,1,0
5,1,36,1,0
5,1,37,1,0
5,1,38,1,1
5,1,39,1,0
5,1,40,3,1
5,1,41,5,1
5,1,42,2,0
5,1,43,2,0
5,1,44,2,1
5,1,45,1,0
5,1,46,2,0
5,1,47,2,0
5,1,48,2,0
5,1,49,2,1
5,1,50,2,0
